Sample #	EMG_A01	EMG_A04
1	0.023346	0.02182
2	0.025482	0.038452
3	0.026855	0.057678
4	0.022278	-0.005646
5	0.016937	0.042267
6	-0.036774	0.024719
7	0.064392	-0.001984
8	0.062561	0.046539
9	0.026398	0.023041
10	0.014038	0.039368
11	0.019836	-0.022125
12	0.012207	0.037079
13	-0.025635	0.006714
14	0.078888	-0.006256
15	-0.011292	-0.002441
16	0.053101	0.021362
17	-0.000153	-0.006409
18	0.03952	0.020905
19	0.037537	0.036316
20	0.028229	0.042572
21	0.067139	0.029907
22	0.002136	0.031738
23	0.070496	0.012054
24	0.028839	0.014496
25	0.027924	-0.080872
26	0.015717	-0.014343
27	0.001831	-0.013428
28	0.056458	0.055695
29	0.023193	0.037689
30	0.061188	0.000763
31	-0.017548	0.026093
32	-0.015869	0.044098
33	-0.013275	0.060272
34	0.014496	0.073395
35	0.028381	0.03952
36	-0.015717	0.036926
37	0.043793	0.022736
38	0.013123	0.035248
39	0.025635	-0.004272
40	0.031281	0.059814
41	0.026093	0.03952
42	0.031738	0.024719
43	0.022583	0.037994
44	0.023041	0.014343
45	-0.002899	0.018311
46	0.011902	-0.018463
47	0.022125	0.021973
48	0.027161	-0.032349
49	0.034943	0.071259
50	0.041199	0.082245
51	0.034943	0.100555
52	0.032806	0.046082
53	0.036774	0.014496
54	0.017548	0.010529
55	0.04837	0.011749
56	0.030365	-0.002747
57	0.069122	0.025177
58	0.039978	0.024109
59	0.026245	-0.016327
60	-0.000916	0.014343
61	-0.00824	0.030212
62	0.055695	-0.009613
63	0.013733	-0.009766
64	0.040131	-0.027466
65	-0.001221	0.001221
66	-0.020599	-0.028381
67	0.056763	0.028076
68	0.001831	0.028229
69	0.046539	-0.025787
70	-0.012665	0.027924
71	0.043488	0.021515
72	0.01358	0.00824
73	0.038452	0.014191
74	0.070801	0.0383
75	-0.022736	0.010071
76	-0.001831	0.054169
77	0.006409	0.022125
78	0.012207	0.029297
79	0.003052	0.035095
80	0.050812	-0.005341
81	0.008087	0.034332
82	0.00412	0.036011
83	0.061798	0.037079
84	0.006104	0.035858
85	0.056763	-0.001221
86	0.00824	0.046082
87	-0.005035	0.034485
88	0.040436	0.096588
89	0.019531	0.105133
90	0.029602	0.09079
91	-0.002594	0.057526
92	0.016327	0.000305
93	0.023956	0.049896
94	0.016022	0.063629
95	0.024414	0.050964
96	-0.003662	0.016937
97	0.028534	0.036774
98	-0.039368	-0.016174
99	-0.010071	-0.063477
100	-0.005951	-0.025482
101	0.007477	-0.026855
102	0.003662	0.023193
103	0.029755	-0.03418
104	0.018005	-0.00412
105	0.040741	0.007629
106	0.04425	0.005188
107	-0.01709	0.004272
108	0.040588	0.02243
109	0.017242	0.022278
110	0.021667	-0.003815
111	0.044861	0.018616
112	0.018158	0.06546
113	0.036316	-0.008087
114	0.039215	0.037994
115	0.037689	0.004272
116	0.036163	0.023499
117	-0.008087	0.033569
118	0.019989	0.01236
119	0.004578	-0.009155
120	0.040588	0.009613
121	-0.006714	0.029449
122	0.072937	0.007324
123	0.029907	0.048676
124	0.036163	0.001831
125	0.045166	0.054779
126	0.020447	0.00946
127	0.048981	0.024567
128	-0.001831	0.025024
129	0.041351	0.077972
130	-0.001678	0.019531
131	0.020599	0.013885
132	-0.011749	0.039368
133	0.005646	0.026245
134	0.007782	0.037079
135	-0.014038	0.032959
136	0.07019	0.009918
137	-0.029297	0.055237
138	0.050812	0.041809
139	0.041656	0.033875
140	-0.015717	-0.011292
141	0.017242	0.039368
142	0.031891	0.00351
143	0.031738	0.006561
144	0.018311	0.057678
145	0.039825	-0.006104
146	0.031433	0.007172
147	0.022583	0.023193
148	0.058136	0.038147
149	0.027008	0.02533
150	0.092773	0.040436
151	-0.014648	0.047302
152	0.017853	0.015564
153	0.006714	0.025024
154	0.027313	-0.014496
155	0.020447	0.047607
156	0.02655	0.046387
157	0.058441	0.085449
158	0.001068	0.057526
159	0.015564	0.015564
160	-0.010223	0.02243
161	0.021973	0.025177
162	0.049438	0.020142
163	0.066681	0.037842
164	0.030518	0.041656
165	0.007019	0.005646
166	0.021362	0.028076
167	0.005035	0.020142
168	-0.018463	0.036621
169	0.06897	0.047455
170	0.008392	0.025024
171	0.046082	0.052338
172	-0.001221	0.025024
173	0.055237	-0.053711
174	0.020447	0.022583
175	0.018463	0.010681
176	0.061493	0.022278
177	0.056305	0.01358
178	0.04364	0.037994
179	0.019836	0.016785
180	0.041809	0.020752
181	0.007935	0.045624
182	0.031586	-0.011902
183	0.080872	0.01236
184	0.036621	-0.066223
185	0.010834	0.006409
186	-0.011597	-0.00885
187	0.040131	0.061188
188	0.002289	0.065308
189	0.021667	0.045624
190	0.04364	0.090027
191	0.059052	0.010681
192	0.036621	0.017548
193	-0.016937	-0.034332
194	0.010071	-0.00351
195	0.003357	0.053406
196	0.005798	0.012817
197	0.07843	0.023499
198	0.052795	0.03067
199	0.026703	0.010529
200	-0.015259	-0.019226
201	0.038147	-0.02243
202	-0.007477	0.003967
203	0.042725	0.016785
204	-0.004883	0.044403
205	-0.002441	0.033875
206	-0.056915	0.040894
207	-0.019836	-0.003052
208	0.063629	0.098267
209	0.036774	0.026093
210	0.036163	-0.006561
211	0.03418	0.02594
212	0.046539	0.002594
213	0.043182	0.018005
214	0.031891	0.050507
215	0.023193	0.059052
216	-0.005951	0.036774
217	0.052643	-0.010681
218	0.030518	0.05188
219	0.047913	-0.02594
220	0.031891	0.001068
221	-0.029449	-0.034637
222	0.030212	0.034027
223	0.024567	-0.014191
224	0.007019	0.010529
225	0.012207	0.027618
226	-0.008698	0.012817
227	0.078278	0.025787
228	-0.003967	0.046082
229	0.015106	0.019836
230	0.018616	0.043335
231	0.012054	0.032043
232	0.037689	0.012512
233	-0.019531	0.043488
234	0.055084	0.007172
235	-0.071869	0.055389
236	0.058136	0.03006
237	0.016937	0.027008
238	0.042877	0.002747
239	0.079346	0.046387
240	0.010529	0.005798
241	0.019531	0.052032
242	0.014648	0.043182
243	-0.013733	-0.010834
244	-0.007172	0.063171
245	0.034637	0.05249
246	0.054016	0.068207
247	-0.000458	0.081024
248	0.007019	0.045471
249	0.066071	0.079041
250	-0.028992	0.007935
251	0.032043	0.040741
252	0.012665	0.04425
253	0.102386	0.006409
254	0.05249	0.014954
255	0.012512	-0.007172
256	-0.016937	0.084381
257	0.052338	0.020905
258	-0.012207	0.00946
259	0.007324	0.029755
260	0.027161	0.04303
261	0.047302	0.051422
262	0.009918	0.022736
263	0.033569	0.027618
264	0.006409	0.050507
265	0.084839	0.010071
266	-0.068054	0.033112
267	0.019684	0.011292
268	-0.011139	0.060272
269	-0.007172	0.031281
270	0.049591	0.016174
271	0.001526	0.046844
272	0.02243	0.020599
273	0.013885	0.060425
274	-0.015411	0.020294
275	0.045319	0.039673
276	-0.011902	0.059814
277	0.02594	0.041504
278	0.002441	0.019836
279	-0.000763	0.015106
280	0.010834	0.045624
281	0.035095	0.001221
282	0.047455	0.049133
283	0.020142	0.025635
284	0.058594	0.014648
285	-0.032806	0.039215
286	0.045166	-0.006866
287	0.055542	0.044708
288	-0.00412	-0.009918
289	0.056	0.057831
290	0.007782	0.066376
291	0.038605	0.037994
292	0.036926	0.040283
293	-0.052032	0.012512
294	-0.02182	0.060272
295	0.015411	0.053406
296	0.04715	0.03952
297	-0.00946	0.075073
298	0.023346	0.025482
299	0.05188	0.026093
300	-0.014496	0.022736
301	0.089874	0.023041
302	0.009766	0.031433
303	0.006256	0.015564
304	0.036316	0.070801
305	0.011749	0.006714
306	0.054169	0.049896
307	-0.020447	0.020142
308	0.075531	0.016327
309	-0.033112	0.055847
310	0.024109	-0.005188
311	0.053711	0.046234
312	0.016022	0.070038
313	0.018311	0.031586
314	0.071716	0.038452
315	-0.000458	0.002594
