Sample #	EMG_A01	EMG_A04
3691	0.005035	-0.187073
3692	0.032043	-0.164185
3693	0.027618	-0.063477
3694	0.083771	0.001678
3695	0.095215	0.066223
3696	0.059967	0.131989
3697	-0.011597	0.061951
3698	0.022583	0.108337
3699	-0.003357	0.039368
3700	-0.025787	-0.005646
3701	0.039063	0.000305
3702	0.06134	-0.055847
3703	0.103302	0.023346
3704	0.080109	-0.010223
3705	0.066528	0.037537
3706	0.023499	0.084839
3707	0.096588	0.089722
3708	-0.033569	0.019226
3709	-0.084076	0.063171
3710	-0.046082	-0.046234
3711	0.03067	0.025635
3712	0.019989	0.170593
3713	0.005341	0.216675
3714	0.033417	0.072479
3715	0.058441	-0.167236
3716	0.031281	-0.300598
3717	0.005493	-0.199585
3718	0.006104	-0.016022
3719	0.001984	-0.062714
3720	0.026855	-0.119019
3721	0.050507	-0.058136
3722	0.005035	0.009918
3723	0.038147	0.096588
3724	0.016632	0.150757
3725	0.015259	0.135803
3726	0.00473	0.053864
3727	-0.040131	0.081787
3728	-0.004578	0.123291
3729	0.029449	0.090485
3730	-0.034943	0.06134
3731	0.056	-0.019836
3732	0.069275	-0.033417
3733	0.050659	-0.010376
3734	0.107727	-0.00351
3735	0.086975	0.010071
3736	0.139618	-0.010529
3737	0.046082	0.106049
3738	-0.009155	-0.014343
3739	-0.041199	-0.000305
3740	0.007629	0.049438
3741	0.008698	0.051422
3742	0.046387	0.157013
3743	0.052338	0.120392
3744	0.00473	-0.005493
3745	-0.053406	0.021057
3746	-0.060883	0.010529
3747	0.000153	0.07431
3748	-0.01236	0.148926
3749	-0.050507	0.262756
3750	-0.063782	0.045166
3751	-0.063629	-0.075226
3752	-0.036469	-0.029602
3753	0.044861	0.018463
3754	0.030212	-0.002136
3755	0.100861	0.068512
3756	0.071869	0.028381
3757	0.091858	0.074768
3758	0.031281	0.037384
3759	0.070343	-0.02243
3760	0.10376	0.029449
3761	0.066833	0.015869
3762	0.014648	-0.008087
3763	0.014801	0.02121
3764	-0.075226	-0.048218
3765	0.007019	-0.132141
3766	-0.029602	-0.219421
3767	0.021362	-0.253143
3768	0.005035	-0.206909
3769	-0.04776	-0.001221
3770	0.010223	0.21225
3771	0.050812	0.335999
3772	0.074615	0.203705
3773	0.079346	0.205231
3774	0.066528	0.097961
3775	0.075531	0.11261
3776	-0.010834	0.062103
3777	-0.038452	-0.018158
3778	-0.037384	0.053711
3779	0.007172	0.082092
3780	0.115967	0.085602
3781	0.095215	0.032654
3782	-0.006256	0.032806
3783	-0.099792	0.007172
3784	-0.018616	0.01297
3785	-0.064087	0.003204
3786	-0.010681	0.027771
3787	-0.036316	0.029144
3788	0.033722	0.042267
3789	0.085297	0.035248
3790	0.167389	-0.023651
3791	0.140533	-0.06012
3792	-0.00412	-0.041199
3793	-0.011902	0.037842
3794	0.036316	0.00946
3795	0.046997	0.019226
3796	0.076904	0.044861
3797	0.001678	0.04364
3798	0.023041	-0.029907
3799	0.083008	0.007629
3800	0.052795	0.016937
3801	0.075989	0.030518
3802	0.009766	0.020294
3803	0.069733	-0.043945
3804	0.072327	-0.010681
3805	0.070801	0.013428
3806	0.047302	0.058441
3807	0.083313	0.045624
3808	0.010376	0.029755
3809	-0.00061	-0.008545
3810	0.016022	-0.005341
3811	0.020905	0.045013
3812	0.048828	-0.008087
3813	0.012207	0.020142
3814	-0.003357	0.100403
3815	-0.049133	0.002136
3816	-0.027466	0.0177
3817	-0.005646	-0.053711
3818	0.008392	0.041199
3819	-0.000916	0.041962
3820	-0.002899	0.020752
3821	0.049286	0.094299
3822	0.060577	0.045776
3823	0.022278	-0.025635
3824	-0.010986	0.065308
3825	0.00412	0.024109
3826	0.03067	0.019379
3827	0.031586	0.049133
3828	0.030975	0.093842
3829	0.020752	0.015564
3830	-0.00412	0.059204
3831	0.00824	0.028229
3832	0.049744	0.04776
3833	0.026245	-0.049438
3834	-0.032959	-0.04364
3835	0.016327	0.024109
3836	-0.042877	0.047607
3837	-0.046234	-0.03006
3838	-0.09201	-0.007782
3839	0.0383	0.054474
3840	0.007477	0.05249
3841	0.033722	0.00412
3842	0.072937	0.05661
3843	0.024719	0.014496
3844	0.04715	0.015259
3845	0.110931	0.06485
3846	0.077209	0.021362
3847	0.060425	-0.063782
3848	0.068207	0.060577
3849	0.066986	0.086365
3850	0.114746	0.06424
3851	0.170898	-0.018921
3852	0.122833	0.079346
3853	0.058899	0.027618
3854	0.021515	0.080872
3855	-0.06424	0.001984
3856	-0.105896	0.037842
3857	-0.100098	0.098114
3858	-0.062561	0.068207
3859	-0.035553	0.069733
3860	0.085754	0.000458
3861	0.055542	0.030823
3862	0.015717	0.016022
3863	0.00061	0.00351
3864	0.053406	0.094452
3865	0.050507	0.05127
3866	-0.002289	0.045624
3867	-0.017395	-0.013885
3868	-0.007782	0.000305
3869	-0.031128	0.022278
3870	0.045471	0.028381
3871	-0.014954	0.006256
3872	-0.051727	0.029755
3873	-0.059204	0.013123
3874	-0.055237	0.037384
3875	-0.069275	0.001984
3876	-0.0383	0.034027
3877	-0.003204	-0.01297
3878	0.044861	0.025635
3879	0.046234	0.001526
3880	0.045471	-0.005646
3881	0.125732	0.046082
3882	0.176239	-0.00412
3883	0.122833	0.039978
3884	0.088043	0.029602
3885	0.010681	-0.005646
3886	0.007019	-0.009918
3887	0.007172	-0.011444
3888	0.040131	0.031891
3889	0.010376	0.092773
3890	0.028381	0.059967
3891	0.059357	0.094757
3892	0.026855	0.09903
3893	0.040588	0.054779
3894	0.042419	-0.065613
3895	0.005035	-0.009613
3896	-0.005798	0.122528
3897	0.005493	-0.021362
3898	-0.046844	0.032959
3899	0.018616	0.044403
3900	0.042725	0.033875
3901	0.044708	0.055542
3902	-0.022278	-0.02243
3903	-0.037079	0.016937
3904	0.01358	-0.005646
3905	0.053558	0.020142
3906	0.083618	0.011749
3907	0.058594	-0.026703
3908	0.032196	0.050354
3909	0.019379	-0.0354
3910	0.05249	0.031891
3911	0.045929	0.016174
3912	0.030518	0.065613
3913	0.052338	0.027466
3914	0.029144	0.058136
3915	0.012207	0.001526
3916	0.005646	0.043488
3917	0.00885	-0.00473
3918	0.027771	0.040894
3919	0.048218	0.011597
3920	0.062561	0.020142
3921	0.008087	0.011139
3922	0.029602	0.016327
3923	0.046387	-0.069122
3924	0.014496	-0.018311
3925	-0.049744	0.032196
3926	-0.040894	-0.042725
3927	0.00412	0.024567
3928	-0.032654	0.038147
3929	0.038147	-0.028229
3930	0.123444	0.046234
3931	0.133667	0.01709
3932	0.092468	0.016174
3933	0.06485	0.101776
3934	0.002747	0.013733
3935	0.060883	-0.029144
3936	0.062256	0.055389
3937	0.034943	0.069733
3938	0.052795	-0.028534
3939	0.010834	0.010071
3940	-0.005646	0.009613
3941	-0.012665	0.024567
3942	0.056	-0.017395
3943	0.008698	0.100708
3944	0.031433	-0.020599
3945	-0.026093	0.045471
3946	-0.005798	0.059814
3947	0.016479	0.036469
3948	0.018005	0.031586
3949	0.040741	0.024414
3950	0.004578	0.038147
3951	0.057678	0.051422
3952	0.045471	0.105591
3953	0.024719	0.091095
3954	-0.017548	-0.005493
3955	0.021515	0.078583
3956	0.10498	0.08606
3957	0.047913	0.004425
3958	0.050812	0.100861
3959	0.022278	0.074615
3960	0.007782	0.043488
3961	-0.001984	-0.002441
3962	-0.005798	0.018311
3963	0.032501	0.018768
3964	0.066833	0.019531
3965	0.018005	0.063477
3966	-0.001373	-0.104218
3967	-0.000763	0.105743
3968	0.020905	0.07782
3969	0.067291	-0.006561
3970	0.016785	0.041351
3971	0.028839	0.075378
3972	0.048218	-0.015564
3973	0.006561	0.003357
3974	-0.011292	-0.050964
3975	0.045929	0.015106
3976	0.054474	0.013733
3977	0.057983	0.049896
3978	0.01236	0.027008
3979	0.020142	0.030975
3980	0.004425	-0.015411
3981	-0.013733	0.007477
3982	-0.003967	0.000458
3983	0.030823	0.031281
3984	0.082245	0.072021
3985	0.040131	0.026398
3986	0.060425	-0.042877
3987	0.039825	0.011597
3988	0.053406	-0.046844
3989	0.04425	0.090637
3990	0.038147	0.084686
3991	0.049591	0.053711
3992	0.071564	0.03479
3993	0.007324	0.029449
3994	0.01358	0.008392
3995	-0.006561	0.082397
3996	0.013428	0.110168
3997	0.080872	0.029297
3998	0.06134	0.043488
3999	0.003357	0.072327
4000	-0.015259	0.048218
4001	0.002289	0.01709
4002	0.046539	-0.091858
4003	0.021973	-0.121918
4004	-0.005951	-0.166168
4005	0.049286	-0.119171
4006	0.032043	0.053406
4007	0.03418	0.282135
4008	0.019836	0.326843
4009	0.069275	0.227966
4010	0.072327	0.102386
